お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
Window_v1x1,Block Building,Vertical 1x1,縦型ウインドウ1x1,
Window_v1x1Inv,Block Building,Vertical 1x1,縦型ウインドウ1x2,
Window_v1x1Thick,Block Building,Vertical 1x1,縦型ウインドウ1x2,
Window_v1x1ThickInv,Block Building,Vertical 1x1,縦型ウインドウ1x2,
Window_v1x2,Block Building,Vertical 1x2,縦型ウインドウ1x2,
Window_v1x2Inv,Block Building,Vertical 1x2,縦型ウインドウ1x2,
Window_v1x2Thick,Block Building,Vertical 1x2,縦型ウインドウ1x2,
Window_v1x2ThickInv,Block Building,Vertical 1x2,縦型ウインドウ1x2,
Window_v2x2,Block Building,Vertical 2x2,縦型ウインドウ2x2,
Window_v2x2Inv,Block Building,Vertical 2x2,縦型ウインドウ2x2,
Window_v2x2Thick,Block Building,Vertical 2x2,縦型ウインドウ2x2,
Window_v2x2ThickInv,Block Building,Vertical 2x2,縦型ウインドウ2x2,
WindowArmoredLargeBlocks,Block Building,Armored Window Blocks L,強化ウィンドブロックＬ,
WindowArmoredSmallBlocks,Block Building,Armored Window Blocks S,強化ウィンドブロックＳ,
WindowLargeBlocks,Block Building,Window Blocks L,ラージ・ウィンドブロックＬ,
WindowShutterLargeBlocks,Block Building,Shutter Window Blocks L,シャッターウィンドブロックＬ,
WindowShutterSmallBlocks,Block Building,Shutter Window Blocks S,シャッターウィンドブロックＳ,
WindowSloped2MS,Block Building,Slope Inv (non-transparent),ウインドウスロープ(不透明),
WindowSloped2ShutterArmored,Block Building,Slope Inv (non-transparent),スロープ(不透明),
WindowSlopedBase,Block Building,Slope (transparent),ウインドウスロープ(透明),
WindowSlopedMS,Block Building,Slope (non-transparent),ウインドウスロープ(不透明),
WindowSlopedShutterArmored,Block Building,Slope (non-transparent),スロープ(不透明),
WindowSlopedShutterTransArmored,Block Building,Slope (transparent),スロープ(透明),
WindowSmallBlocks,Block Building,Window Blocks S,ウィンドブロックＳ,
WindowVertBase,Block Building,Vertical (transparent),ウインドウ(透明),
WindowVertMS,Block Building,Vertical (non-transparent),ウインドウ(不透明),
WindowVertShutterArmored,Block Building,Vertical (non-transparent),ウインドウ(不透明),
WindowVertShutterTransArmored,Block Building,Vertical (transparent),ウインドウ(透明),
Wing12x9a,Block Building,Wing A (12x9),ウィングA(12x9),
Wing12x9b,Block Building,Wing B (12x9),ウィングB(12x9),
Wing12x9c,Block Building,Wing C (12x9),ウィングC(12x9),
Wing12x9d,Block Building,Wing D (12x9),ウィングD(12x9),
Wing12x9e,Block Building,Wing E (12x9),ウィングE(12x9),
Wing6x5a,Block Building,Wing A (6x5),ウィングA(6x5),
Wing6x5b,Block Building,Wing B (6x5),ウィングB(6×5),
Wing6x5c,Block Building,Wing C (6x5),ウィングC(6x5),
Wing6x5d,Block Building,Wing D (6x5),ウィングD(6x5),
Wing6x5e,Block Building,Wing E (6x5),ウィングE(6x5),
Wing6x9a,Block Building,Wing A (6x9),ウィングA(6x9),
Wing6x9b,Block Building,Wing B (6x9),ウィングB(6x9),
Wing6x9c,Block Building,Wing C (6x9),ウィングC(6x9),
Wing6x9d,Block Building,Wing D (6x9),ウィングD(6x9),
Wing6x9e,Block Building,Wing E (6x9),ウィングE(6x9),
Wing9x6a,Block Building,Wing A (9x6),ウィングA(9×6),
Wing9x6b,Block Building,Wing B (9x6),ウィングB(9×6),
Wing9x6c,Block Building,Wing C (9x6),ウィングC(9×6),
Wing9x6d,Block Building,Wing D (9x6),ウィングD(9×6),
Wing9x6e,Block Building,Wing E (9x6),ウィングE(9×6),
WingBlocks,Block Building,Wing Blocks,ウィングブロック,
WoodBlocks,Block Building,Wood Blocks,ウッド・ブロック,
WoodFull,Block Building,Wood Block,ウッド・ブロック,
WoodThin,Block Building,Wood Block,ウッド・ブロック,
WoodThinBlocks,Block Building,Wood Blocks (thin),薄型ウッド・ブロック,
Beam,Block Building - Shape,Beam,ビーム,
BeamDestroyed,Block Building - Shape,Beam - Destroyed,ビーム（破損）,
Corner,Block Building - Shape,Corner,コーナー,
CornerDestroyed,Block Building - Shape,Corner - Destroyed,コーナー（破損）,
CornerLarge,Block Building - Shape,Corner Large A,コーナーラージA,
CornerLargeB,Block Building - Shape,Corner Large B,コーナーラージB,
CornerLargeBDestroyed,Block Building - Shape,Corner Large B - Destroyed,コーナーラージB（破損）,
CornerLargeC,Block Building - Shape,Corner Large C,コーナーラージC,
CornerLargeCDestroyed,Block Building - Shape,Corner Large C - Destroyed,コーナーラージC（破損）,
CornerLargeD,Block Building - Shape,Corner Large D,コーナーラージD,
CornerLargeDDestroyed,Block Building - Shape,Corner Large D - Destroyed,コーナーラージD（破損）,
CornerLargeDestroyed,Block Building - Shape,Corner Large A - Destroyed,コーナーラージA（破損）,
CornerLongA,Block Building - Shape,Corner Long A,コーナーロングA,
CornerLongADestroyed,Block Building - Shape,Corner Long A - Destroyed,コーナーロングA（破損）,
CornerLongB,Block Building - Shape,Corner Long B,コーナーロングB,
CornerLongBDestroyed,Block Building - Shape,Corner Long B - Destroyed,コーナーロングB（破損）,
CornerLongC,Block Building - Shape,Corner Long C,コーナーロングC,
CornerLongCDestroyed,Block Building - Shape,Corner Long C - Destroyed,コーナーロングC（破損）,
CornerLongD,Block Building - Shape,Corner Long D,コーナーロングD,
CornerLongDDestroyed,Block Building - Shape,Corner Long D - Destroyed,コーナーロングD（破損）,
CornerLongE,Block Building - Shape,Corner Long E,コーナーロングE,
CornerLongEDestroyed,Block Building - Shape,Corner Long E - Destroyed,コーナーロングE（破損）,
CornerRoundThin,Block Building - Shape,Round Corner Thin,薄型コーナーラウンド,
CornerRoundThin2,Block Building - Shape,Corner Round Thin 2,コーナーラウンドシン2,
CornerRoundThin2Destroyed,Block Building - Shape,Corner Round Thin 2 - Destroyed,コーナーラウンド2（破損）,
CornerRoundThinDestroyed,Block Building - Shape,Round Corner Thin - Destroyed,薄型コーナー（破損）,
CornerThin,Block Building - Shape,Thin Corner,薄型コーナー,
CornerThin2,Block Building - Shape,Corner Thin 2,薄型コーナー2,
CornerThin2Destroyed,Block Building - Shape,Corner Thin 2 - Destroyed,薄型コーナー2（破損）,
CornerThinDestroyed,Block Building - Shape,Thin Corner - Destroyed,薄型コーナー（破損）,
Cube,Block Building - Shape,Cube,キューブ,
CubeDestroyed,Block Building - Shape,Cube - Destroyed,キューブ（破損）,
CubeHalf,Block Building - Shape,Cube Half,キューブ・ハーフ,
CubeHalfDestroyed,Block Building - Shape,Cube Half - Destroyed,キューブ・ハーフ（破損）,
CurveOutSlope,Block Building - Shape,Curved Corner,カーブ・コーナ,
CurveOutSlopeDestroyed,Block Building - Shape,Curved Corner - Destroyed,カーブ・コーナ（破損）,
CurveOutSlopeInv,Block Building - Shape,Inward Curved Corner,カーブ・コーナ(Inward ),
CurveOutSlopeInvDestroyed,Block Building - Shape,Inward Curved Corner - Destroyed,カーブ・コーナ(Inward )（破損）,
CurveQuarter,Block Building - Shape,Round Corner Long,ラウンド・コーナ・ロング,
CurveQuarterDestroyed,Block Building - Shape,Round Corner Long - Destroyed,ラウンド・コーナ・ブロック（破損）,
CurveQuarterThin,Block Building - Shape,Round Corner Long Thin,薄型ラウンド・コーナ・ブロック,
CurveQuarterThinDestroyed,Block Building - Shape,Round Corner Long Thin - Destroyed,薄型ラウンド・コーナ・ブロック（破損）,
Cylinder,Block Building - Shape,Cylinder,シリンダー,
CylinderDestroyed,Block Building - Shape,Cylinder - Destroyed,シリンダー（破損）,
CylinderEndA,Block Building - Shape,Cylinder End A,シリンダーエンドＡ,
CylinderEndADestroyed,Block Building - Shape,Cylinder End A - Destroyed,シリンダーエンドＡ（破損）,
CylinderEndB,Block Building - Shape,Cylinder End B,シリンダーエンドＢ,
CylinderEndBDestroyed,Block Building - Shape,Cylinder End B - Destroyed,シリンダーエンドＢ（破損）,
CylinderEndC,Block Building - Shape,Cylinder End C,シリンダーエンドＣ,
CylinderEndCDestroyed,Block Building - Shape,Cylinder End C - Destroyed,シリンダーエンドＣ（破損）,
CylinderFenceBottom,Block Building - Shape,Cylinder Fence Bottom,シリンダーフェンス下部,
CylinderFenceBottomDestroyed,Block Building - Shape,Cylinder Fence Bottom - Destroyed,シリンダーフェンス下部（破損）,
CylinderFenceTop,Block Building - Shape,Cylinder Fence Top,シリンダーフェンス上部,
CylinderFenceTopDestroyed,Block Building - Shape,Cylinder Fence Top - Destroyed,シリンダーフェンス上部（破損）,
CylinderThin,Block Building - Shape,Cylinder Thin,薄型シリンダー,
CylinderThinCurved,Block Building - Shape,Cylinder Thin Curved,薄型シリンダーカーブ,
CylinderThinCurvedDestroyed,Block Building - Shape,Cylinder Thin Curved - Destroyed,薄型シリンダーカーブ（破損）,
CylinderThinDestroyed,Block Building - Shape,Cylinder Thin - Destroyed,薄型シリンダー（破損）,
CylinderThinTJoint,Block Building - Shape,Cylinder Thin T Joint,薄型Ｔ字ジョイント・シリンダー,
CylinderThinTJointDestroyed,Block Building - Shape,Cylinder Thin T Joint - Destroyed,薄型Ｔ字ジョイント・シリンダー（破損）,
HalfRound,Block Building - Shape,Round Corner,ラウンド・コーナ,
HalfRoundDestroyed,Block Building - Shape,Round Corner - Destroyed,ラウンド・コーナ（破損）,
HalfRoundInv,Block Building - Shape,Inward Corner,コーナ(Inward ),
HalfRoundInvDestroyed,Block Building - Shape,Inward Corner - Destroyed,コーナ(Inward )（破損）,
InvertedCorner,Block Building - Shape,Cut Corner,カット・コーナ,
InvertedCornerDestroyed,Block Building - Shape,Cut Corner - Destroyed,カット・コーナ（破損）,
InvertedCornerRound,Block Building - Shape,Round Cut Corner,ラウンド・カット・コーナ,
InvertedCornerRoundDestroyed,Block Building - Shape,Round Cut Corner - Destroyed,ラウンド・カット・コーナ（破損）,
InvertedCornerRoundThin,Block Building - Shape,Round Cut Corner Thin,薄型ラウンド・カット・コーナ,
InvertedCornerRoundThinDestroyed,Block Building - Shape,Round Cut Corner Thin - Destroyed,薄型ラウンド・カット・コーナ （破損）,
PyramidA,Block Building - Shape,Pyramid A,ピラミッドＡ,
PyramidADestroyed,Block Building - Shape,Pyramid A - Destroyed,ピラミッドＡ（破損）,
QuarterRound,Block Building - Shape,Round Slope,ラウンド・スロープ,
QuarterRoundDestroyed,Block Building - Shape,Round Slope - Destroyed,ラウンド・スロープ（破損）,
